read_id,barcode_id,sample_id,score,status,trimmed_seq,left_barcode_id,right_barcode_id,adapter_penalty,barcode_penalty,primer_penalty,layout_penalty,total_penalty,trim_start,trim_end
2507901449011_1_74_1_0_8676_3_10.00,Unknown,,0.0,NoMatches,,,,0.0,0.0,0.0,0.0,0.0,,
2507901449011_1_106_1_0_9245_3_12.86,None_RB7,,-1,Pass,,,RB7,0,1,0.0,0,1,,
2507901449011_1_108_1_327_5129_1_9.97,Unknown,,0.0,NoValidLayout,,,,0.0,0.0,0.0,0.0,0.0,,
2507901449011_1_143_1_4708_6120_1_10.66,FB5_None,,-1,Pass,,FB5,,0,1,0.0,0,1,,
2507901449011_1_203_1_4086_6756_1_10.04,FB5_None,,0,Pass,,FB5,,0,0,0.0,0,0,,
2507901449011_1_214_1_3265_7385_0_10.30,None_RB4,,0,Pass,,,RB4,0,0,0.0,0,0,,
2507901449011_1_58_1_0_17564_3_12.34,None_RB7,,0,Pass,,,RB7,0,0,0.0,0,0,,
2507901449011_1_61_1_13808_5998_1_11.00,Unknown,,0.0,NoValidLayout,,,,0.0,0.0,0.0,0.0,0.0,,
2507901449011_1_84_1_94_19680_1_12.25,FB7_None,,-2,Pass,,FB7,,0,2,0.0,0,2,,
2507901449011_1_130_1_0_19120_2_14.23,FB7_None,,0,Pass,,FB7,,0,0,0.0,0,0,,
2507901449011_1_136_1_3023_9500_1_13.51,Unknown,,0.0,NoValidLayout,,,,0.0,0.0,0.0,0.0,0.0,,
2507901449011_1_151_1_0_18732_1_14.35,None_RB4,,0,Pass,,,RB4,0,0,0.0,0,0,,
2507901449011_1_175_1_7966_11810_1_9.79,None_RB6,,0,Pass,,,RB6,0,0,0.0,0,0,,
2507901449011_1_184_1_157_19821_1_12.58,FB5_None,,-3,Pass,,FB5,,0,3,0.0,0,3,,
2507901449011_1_189_1_469_19224_1_16.17,FB7_None,,0,Pass,,FB7,,0,0,0.0,0,0,,
2507901449011_1_249_1_0_18799_1_14.94,FB10_None,,-1,Pass,,FB10,,0,1,0.0,0,1,,
2507901449011_1_9_1_3121_17062_0_11.54,Unknown,,0.0,NoValidLayout,,,,0.0,0.0,0.0,0.0,0.0,,
2507901449011_1_12_1_1763_21931_2_12.52,FB2_None,,-1,Pass,,FB2,,0,1,0.0,0,1,,
2507901449011_1_35_1_855_21740_2_13.66,None_RB4,,0,Pass,,,RB4,0,0,0.0,0,0,,
2507901449011_1_36_1_739_20758_0_10.02,FB8_None,,-3,Pass,,FB8,,0,3,0.0,0,3,,
2507901449011_1_45_1_25_23634_2_10.54,Unknown,,0.0,NoValidLayout,,,,0.0,0.0,0.0,0.0,0.0,,
2507901449011_1_53_1_1670_22625_2_13.87,FB1_None,,0,Pass,,FB1,,0,0,0.0,0,0,,
2507901449011_1_55_1_738_21632_1_14.02,FB7_None,,0,Pass,,FB7,,0,0,0.0,0,0,,
2507901449011_1_65_1_0_21933_2_13.82,Unknown,,0.0,NoValidLayout,,,,0.0,0.0,0.0,0.0,0.0,,
2507901449011_1_89_1_1249_20959_1_11.13,FB1_None,,0,Pass,,FB1,,0,0,0.0,0,0,,
2507901449011_1_92_1_604_18500_1_14.63,FB1_None,,0,Pass,,FB1,,0,0,0.0,0,0,,
2507901449011_1_94_2_1610_19660_2_13.53,FB4_None,,-3,Pass,,FB4,,0,3,0.0,0,3,,
2507901449011_1_95_1_151_22808_0_8.88,Unknown,,0.0,NoValidLayout,,,,0.0,0.0,0.0,0.0,0.0,,
2507901449011_1_117_1_905_20549_2_12.80,None_RB5,,0,Pass,,,RB5,0,0,0.0,0,0,,
2507901449011_1_118_1_3831_14000_1_15.41,Unknown,,0.0,NoMatches,,,,0.0,0.0,0.0,0.0,0.0,,
2507901449011_1_119_1_466_21693_1_10.09,Unknown,,0.0,NoValidLayout,,,,0.0,0.0,0.0,0.0,0.0,,
2507901449011_1_154_1_0_20555_1_12.72,FB7_None,,-1,Pass,,FB7,,0,1,0.0,0,1,,
2507901449011_1_156_1_0_21394_1_14.52,FB1_None,,-1,Pass,,FB1,,0,1,0.0,0,1,,
2507901449011_1_159_1_2086_22605_2_12.03,FB1_None,,0,Pass,,FB1,,0,0,0.0,0,0,,
2507901449011_1_166_1_0_23513_2_15.49,FB4_None,,0,Pass,,FB4,,0,0,0.0,0,0,,
2507901449011_1_167_1_2377_22504_2_12.51,FB7_None,,-2,Pass,,FB7,,0,2,0.0,0,2,,
2507901449011_1_186_1_8545_13040_1_15.55,Unknown,,0.0,NoMatches,,,,0.0,0.0,0.0,0.0,0.0,,
