read_id,barcode_id,sample_id,score,status,trimmed_seq,left_barcode_id,right_barcode_id,adapter_penalty,barcode_penalty,primer_penalty,layout_penalty,total_penalty,trim_start,trim_end
read_1,Unknown,,0.0,MissingAdapters,,,,0.0,0.0,0.0,0.0,0.0,,
read_1001,Unknown,,0.0,MissingAdapters,,,,0.0,0.0,0.0,0.0,0.0,,
read_2001,Unknown,,0.0,MissingAdapters,,,,0.0,0.0,0.0,0.0,0.0,,
read_3001,Unknown,,0.0,MissingAdapters,,,,0.0,0.0,0.0,0.0,0.0,,
read_4001,Unknown,,0.0,MissingAdapters,,,,0.0,0.0,0.0,0.0,0.0,,
read_5001,Unknown,,0.0,MissingAdapters,,,,0.0,0.0,0.0,0.0,0.0,,
read_6001,Unknown,,0.0,MissingAdapters,,,,0.0,0.0,0.0,0.0,0.0,,
read_7001,Unknown,,0.0,MissingAdapters,,,,0.0,0.0,0.0,0.0,0.0,,
read_8001,Unknown,,0.0,MissingAdapters,,,,0.0,0.0,0.0,0.0,0.0,,
read_9001,Unknown,,0.0,MissingAdapters,,,,0.0,0.0,0.0,0.0,0.0,,
